Name,age,country,category,image,marital_status,Education,net_worth,Degree
Susanne Klatten,58,Germany,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2013/11/Susanne-Hanna-Ursla-Klatten.png?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,University of Buckingham and from International Institute for Management and Development,$19 Billion,Graduate
Charlene de Carvalho-Heineken,66,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2011/05/Charlene-de-Carvalho.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Michel de Carvalho),University of Leiden,$17.3 Billion,Graduate
Abigail Johnson,59,United states,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/abigailjohnson1.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Christopher J. McKown)," Harvard Business School, Hobart and William Smith Colleges, Harvard University, Buckingham Browne & Nichols",$17.2 Billion,Graduate
Anne Cox Chambers,101,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/OR0X.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Robert W. Chambers),"Bachelor of Arts / Science, Finch College",$17 Billion,Graduate
Gina Rinehart,67,Australia,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2011/07/gina-rinehart.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Frank Rinehart),"St Hilda's Anglican School for Girls, University of Sydney",$16.2 Billion,Graduate
Iris Fontbona,N/A,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/Iris-Fontbona.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Andrónico Luksic Abaroa),,$16 Billion,
Elaine Tettemer Marshall,82,United states,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2012/10/elaine-marshall_416x416.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (E. Pierce Marshall),,$15.4 Billion,
Birgit Rausing,N/A,N/A,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/06/Birgit-Rausing.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Widowed (Gad Rausing),,$12.6 Billion,
The Olayan Family,N/A,N/A,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2011/06/Lubna_S._Olayan_World_Economic_Forum_2013.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,,,$12 Billion,
Pollyanna Chu,N/A,N/A,businesswomen,https://static2.therichestimages.com/wordpress/wp-content/uploads/2013/09/04_Pollyanna_Chu.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married,Golden Gate University,$11 Billion,Graduate
Massimiliana Landini Aleotti,N/A,Italy,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2022/03/Tory.png?q=50&fit=crop&w=320&h=160&dpr=1.5 ,Widowed ,,$10.6 Billion,
Beate Heister,N/A,Germany,businesswomen,https://static0.therichestimages.com/wordpress/wp-content/uploads/2015/10/Beate-Heister.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married ,,$10.4 Billion,
Tan Siok Tjien,N/A,N/A,businesswomen,https://static1.therichestimages.com/wordpress/wp-content/uploads/2022/02/Ellen-DeGeneres-And-Portia-de-Rossi.jpg?q=50&fit=crop&w=320&h=160&dpr=1.5 ,Widowed (Surya Wonowidjojo),,$10.2 Billion,
Pamela Mars-Wright,60,United states,businesswomen,https://static3.therichestimages.com/wordpress/wp-content/uploads/2016/09/pamela2.jpg?q=50&fit=crop&w=220&h=220&dpr=1.5 ,Married (Lonnie Wright),Vassar College,$9.59 Billion,Graduate
